Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-02-10 14:30:00-05:00,183.4196014404297,183.66000366210938,183.0449981689453,183.50999450683594,348659,0.0,0.0,AMAT
2025-02-10 15:30:00-05:00,183.5,184.0,183.44000244140625,183.67999267578125,632608,0.0,0.0,AMAT
2025-02-11 09:30:00-05:00,181.7949981689453,183.36500549316406,181.08999633789062,182.63299560546875,860063,0.0,0.0,AMAT
2025-02-11 10:30:00-05:00,182.72000122070312,183.35000610351562,182.16949462890625,182.41000366210938,285765,0.0,0.0,AMAT
2025-02-11 11:30:00-05:00,182.40499877929688,182.69000244140625,181.27999877929688,181.77999877929688,308477,0.0,0.0,AMAT
2025-02-11 12:30:00-05:00,181.80999755859375,182.1300048828125,181.4499969482422,182.1300048828125,211995,0.0,0.0,AMAT
2025-02-11 13:30:00-05:00,182.11000061035156,183.07980346679688,182.0,182.89500427246094,254106,0.0,0.0,AMAT
2025-02-11 14:30:00-05:00,182.94000244140625,183.5800018310547,182.94000244140625,183.32000732421875,474945,0.0,0.0,AMAT
2025-02-11 15:30:00-05:00,183.3350067138672,183.5,182.78500366210938,183.2220001220703,583043,0.0,0.0,AMAT
2025-02-12 09:30:00-05:00,179.4199981689453,180.5800018310547,178.5850067138672,179.88499450683594,2176811,0.0,0.0,AMAT
2025-02-12 10:30:00-05:00,179.80999755859375,180.3000030517578,178.77000427246094,179.10000610351562,338097,0.0,0.0,AMAT
2025-02-12 11:30:00-05:00,179.10499572753906,180.5399932861328,179.09579467773438,180.5,262932,0.0,0.0,AMAT
2025-02-12 12:30:00-05:00,180.35000610351562,181.52999877929688,180.1875,180.63999938964844,260746,0.0,0.0,AMAT
2025-02-12 13:30:00-05:00,180.67999267578125,180.97999572753906,180.1699981689453,180.69000244140625,327997,0.0,0.0,AMAT
2025-02-12 14:30:00-05:00,180.68519592285156,181.3000030517578,180.68519592285156,180.77999877929688,409011,0.0,0.0,AMAT
2025-02-12 15:30:00-05:00,180.8000030517578,180.9199981689453,180.69000244140625,180.85000610351562,128986,0.0,0.0,AMAT
